Customer,Customer Name,Total Outstanding
41027863,M/S SEWANAND JI FILLING STATION,"23,57,156.38"
41016457,"M/S NARDYA FILLING STATION, DIDWANA","23,03,201.28"
41048191,MAHAVIR PARSAD KHANDELWAL,"22,42,265.89"
41041637,"M/s HINDUSTAN FILLING STATION, CHUR","22,24,177.85"
41041917,SHREE RADHE GOPAL FILLING STATION,"22,11,650.91"
41029753,M/s MAHADEV FILLING STATION,"21,72,407.91"
41041930,AATEF ALHAAN & CO.,"21,68,063.30"
41049278,"M/S BEHARIRAM S. RAM, ALWAR","21,60,295.66"
41018341,HAMARA PUMP - OJATU,"21,45,358.78"
41041928,MSHSD H S FILLING STATION,"21,19,846.24"
41029799,M/S JASANA FILLING STATION,"21,15,129.14"
41049888,"M/s SOHANLAL JANAKLAL, PILIBANGAN","21,09,965.15"
41030028,"M/s LOKESH SIHAG FILLING STATION,TH","21,04,053.55"
41073162,ADHOC J S FILLING STATION,"20,79,985.23"
41030040,M/s JAMNA FILLING CENTRE,"20,79,034.81"
41049716,KHANDELWAL & SONS,"20,68,811.14"
41041919,DAYA FILLING STATION,"20,67,651.56"
41072518,MSHSD MONU FILLING STATION,"20,58,273.19"
41018671,M/s JAI SHRI NATH FILLING STATION,"20,37,670.06"
41020847,"M/S SURYA FILLING STATION, GARH","20,33,815.56"
41029930,M/s JEEN BHAWANI FILLING STATION,"20,28,146.24"
41049542,M/s CHOUDHARY SERVICE STATION,"20,24,492.63"
41043830,BAHRI GOODS CARRIERS PVT. LTD.,"20,15,913.72"
41034244,MSHSD SHRI SHYAM FILLING STATION,"20,10,917.55"
41002969,M/s HAMARA PUMP SHREE SHYAM F S,"20,02,675.83"
41049114,M/s MITTAL PETROLEUMS,"19,98,616.98"
41016471,R P & SONS PETROLEUM,"19,86,749.35"
41049705,M/s HANUMAN PRASAD RAGHUNATH PRASAD,"19,69,574.01"
41047983,"M/s MOHANLAL SHANKAR DAS, SRIGANGAN","19,59,519.35"
41034239,"M/s SHREE GANPATI FILLING STATION ,","19,57,869.99"
41048530,"M/s AGARWAL MOTORS,SANGANERI GATE","19,54,166.95"
41018046,M/s VINAYAK FILLING STATION,"19,50,030.76"
41018650,"M/S HP LAXMI FILLING STATION, BALAJ","19,43,220.86"
41072612,PATEL FILLING STATION,"19,40,194.34"
41049778,M/s LALLUPRASAD JAIN,"19,38,384.37"
41029934, SHREE SHYAM FILLING STATION,"19,37,104.19"
41075433,MSHSD SUBHASH PETROLEUM,"19,34,213.72"
41018366,"M/s MAURYA FILLING STATION, RAJALDE","19,19,328.07"
41029948,M/S DUDHAWA FILLING STATION,"19,16,419.93"
41048501,GANESHLAL GHANSHYAMDAS,"19,08,926.79"
41034220,"M/S DHAPA DEVI FILLING STATION, MAL","19,03,355.04"
41034233,M/S GARVIT FILLING STATION,"18,91,159.35"
41027153,MADAN MOHAN FILLING STATION,"18,53,371.82"
41049890,"M/s BIHANI BROTHERS, SRIGANGANAGAR","18,35,305.99"
41034227,M/s HANSALSAR FILLING STATION,"18,27,720.68"
41018358,M/s VAKRANGEE HP FUELS,"18,24,234.86"
41049786,M/s J NAGPAL AND COMPANY,"18,20,657.35"
41068791,TH SHYAM SINGH PETROLEUM,"18,18,443.19"
41018091,HAMARA PUMP - CHANVARA CHOFULLA,"18,12,752.39"
41018348,"M/s HAMARA PUMP, SAWAI CHHOTI","18,04,732.21"
41034225,M/s BHOMPURA FILLING STATION,"17,73,860.09"
41063727,MADHUVAN FILLING STATION,"17,69,662.57"
41017766,M/s SAI FILLING STATION,"17,62,982.23"
41063726,M/S SHIV FILLING STATION,"17,61,915.22"
41018634,"M/S HP SHIV SHAKTI FILLING STN, MAN","17,54,368.80"
41027118,M/s J S FILLING STATION,"17,49,086.98"
41041640,M/s TODAWATA FILLING STATION,"17,42,015.30"
41017783,M/s PRABHA FILLING STATION,"17,38,165.04"
41049704,"M/s DALAM CHAND & CO., BIDASAR","17,32,009.56"
41029975,M/s RAVINDRA FUELS,"17,18,446.68"
41002983,"M/s RAMANA PETRO SERVICE, GHARSANA","17,01,018.13"
41041909,"M/S MAA NAHAR SHAKTI FS, PEECHUPARD","16,75,027.22"
41049785,M/s RATHI SERVICE STATION,"16,72,883.03"
41030032,M/s JEEN MATA PETROLEUM,"16,67,678.79"
41017764,"M/S BANSAL HP CENTRE, MAHWA","16,41,059.38"
41034237,M/s Baba Bharthari Filling Station,"16,40,296.59"
41018414,M/s HAMARA PUMP - LUNIYAWAS,"16,33,282.24"
41018356,"M/S SAHEBJI FILLING STATION, ALWAR","16,25,328.68"
41028283,MSHSD VIJAY FILLING STATION HP DEAL,"16,18,669.46"
41028249,"M/s AMAR SAHEED FILLING STATION, CH","16,17,564.11"
41029823,M/s NIRMALA INDIA PETROLEUM,"15,91,364.83"
41029922,M/s VAIBHAV MULTIPURPOSE STATION,"15,82,707.21"
41041910,R K FILLING STATION,"15,77,833.74"
41069319,SIYA FILLING STATION,"15,70,013.03"
41003080,M/s VINAYAK FUEL CENTRE,"15,57,172.98"
41076241,HP  AUTO CARE FACILITIES BILOUCHI,"15,47,729.49"
41072550,DEVRAJ FILLING STATION,"15,47,198.78"
41027156,KRISHNA FILLING STATION,"15,27,902.97"
41016493,M/s SEPAT FILLING STATION,"15,02,711.35"
41018343,HAMARA PUMP - BALOD BADI,"14,89,402.09"
41029820,"M/S SANDEEP SINGH JOGENDER SINGH, 6","14,66,760.23"
41028892,M/s D D SHARMA PETROLEUMS TONK ROAD,"14,64,907.12"
41002986,AMAR PARAS FUEL MART,"14,46,445.21"
41028020,MSHSD SITARAM FILLING STATION,"14,45,072.76"
41018642,M/s BHAGIRATH FILLING STATION,"14,35,823.13"
41041922,SAI KRIPA FILLING STATION,"14,10,094.24"
41041915,SHESHMA FILLING STATION,"13,79,266.73"
41048031,"M/s KEJRIWAL BROTHERS, SUJANGARH","13,58,583.30"
41027861,MSHSD SHRI RAMDAYAL PETROLEUM,"13,55,420.91"
41018424,"M/S HP BG FILLING STATION, ALWAR","13,45,831.18"
41025074,"M/s BIDAWAT FUEL FILLING STATION,SA","13,44,699.32"
41049427,"M/S ARYA SERVICE CENTER, RENI","13,40,394.94"
41034241,MSHSD  SHREE BALAJI HINDUSTAN PETRO,"13,40,226.24"
41049796,M/S MODERN SERVICE STATION,"13,30,202.05"
41070301,DEV FILLING STATION,"13,23,838.00"
41071613,LAKSHMI PETROLEUM,"13,21,941.99"
41029996,M/s SHREE VEER BALAJI FILLING STATI,"13,07,806.46"
41041639,MSHSD SHARAN FILLING STATION,"12,99,424.69"
41018675,"M/s D K FILLING STATION, LALGARH","12,94,357.66"
41041931,AMARJYOTI FILLING AND CHARGING STAT,"12,88,640.06"
41021106,M/s MOOL SINGH FILLING STATION,"12,78,256.44"
41029727,M/s SHIV FILLING STATION,"12,63,359.98"
41074243,OM HP FUEL CENTRE,"12,57,325.69"
41018074,M/s HAMARA PUMP - KANWAR KA BAS,"12,56,441.73"
41049127,"M/S DHAWLA SERVICE STN., AKBARPUR","12,55,783.99"
41041308,M/s CHOUDHARY CHHAJU RAM FILLING ST,"12,55,771.48"
41041926,CHAHAR FILLING STATION,"12,50,368.68"
41018629,"M/s GODARA PETRO CITY, MAKKASAR","12,47,252.24"
41074384,GURU KRIPA HP FILLING STATION,"12,44,133.54"
41018660,BABA BALAKNATH FILLING STATION,"12,36,735.08"
41025345,JD FILLING STATION,"12,30,718.45"
41069298,SOUTH JAIPUR PETROLEUMS,"12,30,714.56"
41018363,M/s SUMAN HP DABICH,"12,29,701.64"
41049724,"M/s SANGANER SERVICE STATION,SANGAN","12,29,572.45"
41068821,Sanwariya Filling Station,"11,98,541.57"
41072613,RRSD Filling Station,"11,98,259.39"
41003077,M/s SETH SANVALIYA FILLING STATION,"11,93,651.69"
41029987,"M/S POOJA FILLING STATION, GOGATIYA","11,91,605.66"
41072820,ADHOC TONK ROAD SERVICE STATION,"11,66,288.43"
41049435,"M/s RATAN SERVICE STATION, BANDIKUI","11,64,668.96"
41002960,"M/s CH. MAHAVEER SINGH GHINTALA FS,","11,59,843.79"
41048478,M/s AGRA ROAD SERVICE CENTRE,"11,51,236.63"
41002965,"M/s SARADA FUEL STATION, RATANGARH","11,16,827.57"
41018615,"M/SHP KHATANA FILLING STATION, BARE","11,15,481.43"
41072549,VED FILLING STATION,"11,08,772.53"
41018053,"M/S JAGDAMBA FILLING STATION, THANA","11,06,598.57"
41002797,M/s LAKSHMA DEVI FILLING STATION,"11,06,414.87"
41018350,HAMARA PUMP - NAGWAN,"10,91,080.92"
41028182,"M/S LUXMI AUTO, GEEJGARH","10,89,559.49"
41034223,"M/S MAKR PETROLEUM, GOPALSAR","10,89,219.75"
41002810,"M/S SHAHEED BHAGCHAND F/S, PATAN","10,85,523.56"
41018384,M/S DEEGWAL FILLING STATION,"10,66,132.06"
41018102,HAMARA PUMP - CHANANA,"10,57,635.48"
41018048,"M/S PRATAPGARH FILLING STN, PRATAPG","10,56,526.06"
41041305,M/s GUMANPURA HIGHWAY SERVICE,"10,55,850.50"
41049893,"M/s GURCHARANLAL BHATIA AND SONS, G","10,52,506.12"
41041918,R S FILLING STATION,"10,38,186.89"
41018401,MSHSD SHREE MAHADEV & SONS PETRO ST,"10,15,350.92"
41030024,"M/s HARI SHARNAM FILLING STATION, L","10,11,976.03"
41018687,"M/S HARI PRABHAT PETROLEUM, BAHARAW","10,11,417.21"
41018658,M/s VINAYAK FILLING STATION,"9,98,903.41"
41041890,M/s SHREE BALAJI FILLING STATION,"9,98,898.09"
41029955, BAGARIA FILLING STATION,"9,85,481.82"
41029722,"M/s SIHAG FILLING STATION, RAJPURA","9,84,741.20"
41018681,MSHSD HARDEV LAMBA FILLING STATION,"9,60,636.21"
41018685,PARMANAND FILLING STATION,"9,60,235.78"
41018894,M/s UDAI FILLING STATION,"9,55,956.06"
41072819,ADHOC SANKALP HP CENTER RAMCHANDRAP,"9,26,493.02"
41048520,M/s NEW RAJASTHAN PETROL SERVICE,"9,18,626.36"
41025025,M/s MAHALAXMI FILLING STATION,"9,16,166.18"
41002941,M/s VIKAS PETROLEUM SERVICES,"9,12,004.03"
41049534,"M/s OM FILLING STATION, RIDMALSAR","8,99,238.23"
41002795,"M/S CHOUDHARY FILLING STN, BAGAD RA","8,91,016.71"
41003069,M/s MANISH PETROLEUM,"8,87,989.26"
41049604,"M/S RAMESH AUTO, PATOLI","8,80,433.15"
41073321,MATESHWARI PETROLEUM,"8,75,095.60"
41034212,M/s SANGAM FILLING STATION,"8,66,375.34"
41029187,RAISAL FILLING STATION,"8,41,646.49"
41066671,KAPTAN FILLING STATION,"8,19,715.66"
41045860,"M/s MOHAN LAL AGARWAL, RAWATSAR","8,19,275.59"
41003083,"M/s RIDHI SIDHI FUEL STATION, SARDA","8,06,270.40"
41030007,M/s JAIPUR FILLING STATION,"7,68,579.87"
41029717,"M/s SHREE FILLING STATION, PURABSAR","7,67,259.48"
41018362,"M/s HAMARA PUMP POONIA PETRO, GOGAM","7,40,000.16"
41018059,"M/S RAVI ROADLINES, ALWAR","6,98,878.16"
41030043,MSHSD SAINI FILLING STATION,"6,96,716.10"
41041646,"M/S KANKARIYA FILLING STATION, BAGA","6,79,520.36"
41018646,M/s SHREE JAGDISH FILLING STATION,"6,75,326.38"
41048884,NAVEEN FILLING CENTRE,"6,48,155.65"
41018412,M/s SHRI KRISHNA PETROLEUM,"6,43,342.76"
41049795,SHANKARLAL & BROTHERS,"6,29,567.11"
41049793,"M/s ARJANDAS DHANRAJ, SADULPUR","6,24,180.80"
41016488,"M/S POORAN FILLING CENTRE, KHAIRTHA","5,83,946.37"
41019496,"M/s JASWANT SINGH & SONS, SRIGANGAN","5,56,756.29"
41003073,M/s NARAYAN FILLING STATION,"5,53,825.63"
41029809,M/s MAA PHITALAMATA FILLING STATION,"5,49,897.48"
41029682,"M/s SHREE BALAJI FILLING STN, GOLUW","5,43,219.65"
41027860,"M/S CHAVUNDA AUTO SERVICE, PAYALI","5,30,565.38"
41029945,M/S ASHA DEVI SANTOSH FILLING STATI,"5,27,132.78"
41029840,M/s SHREE BALAJI FILLING STATION,"5,22,889.65"
41002789,M/s PINK CITY FUEL CENTRE,"5,17,958.55"
41034242,MSHSD Shri Hanumant Filling Station,"4,62,981.68"
41041934,MSHSD SUMAN PETROLEUMS,"4,31,734.51"
41075427,MSHSD SHARDA FILLING STATION,"4,26,635.16"
41041633,M/s SHRI KALYAN FILLING STATION,"4,24,613.27"
41029971,M/s MAHESH FILLING STATION,"4,13,317.45"
41029844,M/s CHANDRA FILLING STATION,"4,13,291.21"
41018078,M/s GANESHAM,"4,02,775.48"
41029936,M/s SHREE SHYAM FILLING STATION,"3,97,445.83"
41076240,M/S JYOTIKAUSHIK SOLUTIONS PRIVATE,"3,97,372.88"
41018418,M/s SHREE GOVIND PETROLEUM,"3,80,534.90"
41025344,M/s MEENA FILLING STATION,"3,78,684.42"
41067700,"M/s PMJ FUELS TRADCOM, SARDARSHAHAR","3,68,409.41"
41071462,JORWAL FILLING STATION,"3,15,785.21"
41018116,M/s CHAWLA FILLING STATION,"3,07,132.16"
41016479,M/S KAUSHAL FILLING STATION,"3,00,753.73"
41030016,MSHSD SHRI PYARELAL FILLING STATION,"2,92,232.02"
41041906,"M/S SHRI NARAYAN FLG STN, BADKESARP","2,34,650.21"
41030011,"M/s SHRI SULTAN FILLING STATION,ISL","2,32,926.04"
41018109,M/s VARMA FILLING STATION,"2,31,270.27"
41029214,"M/s GURU JAMBHESHWAR FNG STN, PILLI","2,23,293.35"
41070036,PRABHU DAYAL FILLING STATION,"2,03,080.50"
41018652,"M/S HP HARYANA FILLING STATION, DID","2,02,887.17"
41018897,S K BENIWAL SERVICE STATION,"1,90,767.15"
41034229,MSHSD RAJRATAN FILLING STATION,"1,86,727.02"
41049892,"M/s RAMANAND RATTAN LAL, BHADRA","1,76,533.30"
41029712,"M/s ADITYA FILLING STATION, TARANAG","1,69,983.30"
41049891,"M/s VISHWANATH AND COMPANY, SRI KAR","1,68,130.77"
41029646,"M/S JANU SERVICE STATION, ALWAR","1,47,685.03"
41041924,SANTOSH FILLING STATION,"1,47,209.42"
41070666,ADHOC HAMARA PUMP KANWAR KA BAS,"1,08,734.16"
41027703,M/s SHAHID MANGEJ SINGH VC FS,"1,04,378.60"
41029707,"M/S SHARMA FILLING STATION, RATTEWA","90,708.53"
41023782,M/s SHEKHAWATI TRANSPORT CO.,"86,006.87"
41048239,"M/s PHOOL CHAND GOYAL, PADAMPUR","82,778.86"
41023773,M/s GULAB SERVICE STATION,"81,013.39"
41041636,"M/s NAMAN PETROLEUM, VIJAYNAGAR","80,851.46"
41049903,"M/s BAJAJ PETROLEUM TRADERS, HNUMAN","68,821.77"
41018044,"M/S SRI RAM FILLING STATION, DUBBI","67,957.30"
41030055,"M/S PRADEEP FILLING STATION, SAHAWA","60,998.55"
41002817,"M/S SHRI MANGLAM FILLING STN, KATHO","34,102.90"
41042508,M/s BHANKROTA MULTIPURPOSE STATION,"27,870.33"
41049614,"M/S SHREE RAM S. STN, KHERLI","24,023.95"
41022568,M/s KAMAKHYA KRISHNA SERVICE STATIO,"20,794.80"
41029749,M/S AKASH FILLING STATION ASALSAR,"20,306.11"
41029942,M/s KAPIL FILLING STATION,"18,228.46"
41029738,"M/s JAGDAMBA FILLING STATION, PADIH","17,672.64"
41027866,M/S ADHOC GURU JAMBHESHWAR PETRO CI,"17,060.25"
41029703,"M/s SIRANGSAR FILLING STATION, SIRA","14,266.97"
41000040,M/s LAXMI MOTOR COMPANY,"10,000.00"
41018378,"M/s HAMARA PUMP DAHIYA FLNG STN, MA","7,114.81"
41029964,M/s SANKHALA HP FILLING STATION,"1,112.29"
41029838,M/s RAJRANI PETROLEUM,578.22
41018673,M/s ALFA FILLING STATION,0.94
41067301,SHREE RAMANUJ PETROLEUM,0.22
41069743,ADHOC OMSAGAR PETROLEUM,-0.07
41018355,M/s AUTO CARE CENTRE SRIGOVINDPURA,-2
41018353,M/s AUTO CARE CENTRE BILOUCHI,-16
41064534,"M/s ADHOC RAMANA PETRO SERVICE, RAW",-28.21
41049715,NEW SHAH OIL STORES,-109.04
41029842,M/s DOVEE SOFTECH PRIVATE LIMITED,-612.56
41018105,M/s HAMARA PUMP JETSAR,-852.85
41029795,"M/S KATARIA FILLING STATION, DURJAN",-878.2
41018669,M/s TIBRA HP SHYAMPURA,"-1,081.45"
41041638,M/s SAHARAN HINDUSTAN PETROLEUM,"-1,702.00"
41029992,M/s ADHOC TRIVENI FILLING CENTRE VK,"-1,914.91"
41029697,"M/s OM PETROLEUM, NYAMA","-2,071.32"
41002832,"M/S SHIV SHAKTI FS, KHANBHANKRI","-2,624.95"
41018376,"M/s HAMARA PUMP KARAN F/S, CHHAPAR","-3,096.07"
41077740,M/S HP LAKSHYA FILLING CENTER,"-3,117.37"
41029920,M/s RIDDHI SIDDHI FUELS PRIVATE LIM,"-4,130.38"
41085978,DEVENDAR LIMBA HP PETROLEUM,"-4,134.84"
41018645,"M/S HP D & D COMPANY, DADAR","-4,210.73"
41029999,MSHSD SHREE KRISHNA PETROLEUM,"-4,401.61"
41078119,M/S HP AVTAR SINGH FILLING STATION,"-4,452.27"
41078603,FUEL WINGS INDIA PRIVATE LIMITED,"-5,106.34"
41077589,AARVI HP FUEL STATION,"-6,608.24"
41078290,MSHSD LAKHDATAR HP CENTER,"-6,994.16"
41018662,M/s TIRUPATI FILLING STATION,"-7,751.61"
41084272,HARSH HP CENTRE,-8323.33
41034493,MITR MOBILE DIESEL PRIVATE LTD,"-8,433.12"
41034243,M/s HITECH FUEL FILLING STATION,"-8,856.35"
41029671,"M/S SANWAL SERVICE STATION, NARAYAN","-8,857.71"
41048443,"M/s PARAS RAM SUBH KARAN, SADULSAHA","-9,641.06"
41041632,"M/s HIRA NAND MIDDHA & SONS, ANOOPG","-9,695.07"
41085415,BABA FILLING STATION,"-9,839.26"
41086485,HARISINGH GULABDEVI FILLING STATION,"-10,557.76"
41029732,M/s ESHA FILLING STATION,"-11,290.98"
41029940,M/sNAINAWAT FILLING STATION,"-11,382.05"
41086090,MARUDHARA ENTERPRISES,"-11,595.03"
41037136,"M/s SHARMA PETROLEUM AGENCY, SURATG","-11,607.87"
41029961,MSHSD ADHOC LUXMI AUTO,"-12,359.28"
41016481,"M/s J R KALWA FILLING STATION, BIRD","-13,560.89"
41048497,M/s AJMERI GATE FILLING STATION,"-13,853.50"
41041933,MSHSD OM SAGAR PETROLEUM,"-14,039.63"
41018049,M/s JAI SANTOSHI MAA FILLING STATIO,"-16,306.93"
41034218,M/s Balot Traders,"-17,855.29"
41049139,M/s BALAJI SERVICE STATION,"-18,504.34"
41049894,"M/s HARBANSLAL MOHINDER KUMAR,GANGA","-18,834.57"
41002978,"M/s GURU TEG BAHADUR F/S, SAMIJA KO","-19,267.54"
41016483,"M/s KAMMA FILLING STATION, RATANGAR","-19,877.00"
41018421,M/s TRIVENI FILLING CENTRE,"-20,672.41"
41018040,MSHSD BASETH HP FILLING STATION,"-20,904.59"
41029817,"M/S RAHI FILLING STATION, MALSISAR","-21,126.86"
41048871,"M/S CHOUDHARY AGRO SERVICE, MUNDAWA","-21,913.75"
41076869,HP SHRI MOTI FILLING STATION,"-22,552.27"
41016461,"M/S HAMARA PUMP BHANDAREJ F S, BHAN","-23,256.46"
41025073,"M/s SRI GANESH FILLING STATION, HAN","-23,951.98"
41048776,"M/S SHARMA & CO, LALSOT","-27,174.55"
41018039,M/s GIRRAJ SERVICE CENTRE,"-28,319.66"
41029983,"M/s RAJDHANI FILLING STATION , KALY","-28,496.67"
41034231,M/s SHREE RAM HP CENTRE,"-29,307.73"
41045869,"M/s BALDEV KUMAR MABHO PARSAD, SANG","-29,776.12"
41018404,"M/S HAMARA PUMP BARODAKAN, BARODAKA","-30,070.34"
41058564,CHANDAN SERVICE STATION,"-30,348.54"
41063728,MSHSD MANU PETROLEUM,"-30,399.03"
41074845,"M/s MANJEET FILLING STATION, RAJGAR","-30,777.13"
41041932,MSHSD SHIV PETROLEUM,"-35,154.84"
41048950,"M/S LAXMAN SWAROOP & CO, DAUSA","-35,467.06"
41030036,IK ONKAR FUELLING (OPC) PRIVATE LTD,"-38,582.61"
41041921,SD FILLING STATION,"-39,550.75"
41035987,M/s MANGAL SERVICE STATION,"-44,076.84"
41076230,MSHSD HP NAWAL FILLING STATION,"-44,329.97"
41035933,M/s KATARIA FILLING CENTRE,"-44,915.69"
41080147,MD FILLING STATION,"-46,548.66"
41077515,MSHSD HP PUMP OM SALASAR FILLING ST,"-47,390.49"
41018623,"M/S RAMAWATAR CHOUDHARY FS, DAUSA","-47,459.81"
41049718,"M/S BADRI PRASAD SURYA PRAKASH, MAH","-47,605.52"
41048425,"M/s RAMESH AND COMPANY, RATANGARH","-49,642.79"
41086676,MSHSD ANMOL FILLING STATION,"-49,651.76"
41049717,M/s UDAILAL MAHAVEER PRASAD JAIN,"-50,694.84"
41067176,SHREE PARAMHANS FILLING STATION,"-50,707.80"
41000077,"GANGA SAHAI & SONS, ALWAR","-52,559.39"
41041303,M/s NIRMALA PETROLEUM,"-52,826.44"
41016459,"M/S HAMARA PUMP KANIKA F S, ABHANER","-53,345.29"
41018648,"M/s SAGAR FILLING STATION, DEVANI","-56,317.88"
41041644,SHYAM FILLING STATION,"-58,069.88"
41018056,M/s GOPAL FILLING STATION,"-59,747.44"
